steps,return
40,-5943.924441021055
41,-4890.379652822474
42,-4312.455945293943
43,-4450.961743475323
44,-4508.726942170324
45,-3430.80080124053
46,-4624.327455518679
47,-5005.724758040825
48,-3934.483394227762
49,-3219.7920782845335
50,-4859.81956219841
51,-5762.037406904015
52,-5229.377339909459
53,-3216.3970400233684
54,-3377.4047917618004
55,-3556.711962767429
56,-2928.383281742963
57,-3121.8519169156884
58,-3273.0007953346935
59,-4117.071274363595
60,-2489.010263693662
61,-4698.07767923741
62,-5900.922333344836
63,-5969.812018656422
64,-6859.23821055439
65,-5325.120892007598
66,-4302.092322503027
67,-3673.73339488572
68,-3017.6297596285513
69,-3299.217216234852
70,-2903.9636604762813
71,-3375.970651716598
72,-2786.4729812689598
73,-2771.292956106188
74,-2875.638297041873
75,-3317.487306036573
76,-3305.010227594265
77,-3235.025497718636
78,-4021.756603667555
79,-3930.7142452570047
80,-4402.612893302058
81,-3303.742679231067
