steps,return
40,-99.85309001656779
41,-99.32564343967229
42,-96.91303926237829
43,-91.1007191356821
44,-80.31372570524042
45,-76.25916292877632
46,-74.79718334102026
47,-105.55866877477393
48,-76.43929000865268
49,-58.23888562576204
50,-75.1395926531467
51,-74.61295442414604
52,-96.69173475075328
53,-102.0661532256573
54,-94.39392020011435
55,-100.97290342499795
56,-118.02890936960125
57,-110.4283183581903
58,-105.68203356708915
59,-89.09431671346272
60,-72.73848039975391
61,-87.72462783730042
62,-87.85284268643285
63,-90.1474094474581
64,-124.58958014848338
65,-121.41867776594279
66,-135.46920469954816
67,-86.27373295349062
68,-138.15963688434013
69,-82.33826681643109
70,-84.18511635403968
71,-110.5828831165411
72,-103.82167458088357
73,-114.7774062981346
74,-130.44884546954256
75,-106.58443132452985
76,-130.41599927723212
77,-63.68737351501601
78,-102.64805974166185
79,-85.92025807610923
80,-95.88334834760684
81,-153.1120778960361
82,-139.60382151928772
83,-96.09725095019132
84,-128.91475710681271
85,-118.74680900997072
86,-114.39376095322814
87,-132.06307833725222
88,-76.7070780948178
89,-127.55245601311987
90,-82.09534383592619
91,-129.01836922710845
92,-142.8916222889099
93,-160.84738924733927
94,-156.06449150877347
