steps,return
0,1982.5645166666666
3,2073.6610166666665
6,2091.3717166666665
9,2085.986766666667
12,2098.036749999999
15,2116.4234666666666
18,2151.927383333333
21,2122.475416666666
24,2117.658483333334
27,2124.4412499999994
30,2119.9651333333327
33,2132.6686000000013
36,2141.6600166666663
39,2141.9982000000005
42,2150.413
45,2158.9512
48,2163.5951666666665
51,2161.137333333333
54,2164.6952333333334
57,2166.3491000000013
60,2158.2091999999993
63,2156.7228333333346
66,2158.149466666666
69,2159.3642
72,2162.0173666666665
75,2161.801483333333
78,2160.8880999999997
81,2156.5783000000006
84,2158.3394333333326
87,2151.7091833333334
90,2157.722016666666
93,2154.8248333333327
96,2151.9771166666665
99,2146.325416666667
102,2146.58445
105,2144.186166666667
108,2146.1031833333323
111,2142.5074499999987
114,2140.9367666666662
117,2138.4388500000005
120,2140.2572333333333
