steps,return
60,1759.9116666666666
63,1762.4744249999997
66,1743.006058333334
69,1761.401325
72,1770.9981833333338
75,1775.341433333333
78,1754.984508333334
81,1775.3306416666671
84,1740.0183249999998
87,1736.4849583333332
90,1743.039583333333
93,1739.2390666666663
96,1743.6265416666665
99,1748.4728583333335
102,1782.8266250000004
105,1745.5245000000002
108,1762.986458333333
111,1771.1731083333334
114,1761.9321166666668
117,1759.9741000000013
120,1752.865591666667
123,1754.1985833333335
126,1771.6589833333335
129,1764.0735083333338
132,1740.7640749999994
135,1752.6777166666677
138,1755.6621083333337
141,1770.6452999999995
144,1793.1539000000005
147,1771.7878000000003
150,1812.2192249999991
153,1752.6036916666671
156,1805.8244250000005
159,1820.2061083333328
162,1806.21735
165,1824.1383500000002
168,1821.1414749999994
171,1802.0524916666666
174,1741.0997750000004
177,1743.3136250000005
180,1739.8689166666657
183,1813.8197749999997
186,1741.339225
189,1783.3111
192,1814.5728500000005
195,1816.3505166666673
198,1818.441716666667
201,1815.2533416666672
204,1737.3888416666662
207,1749.6603916666666
210,1743.3941750000001
213,1788.1297166666666
216,1823.7038250000003
219,1801.9368250000007
222,1828.5869666666658
225,1819.6532333333341
228,1738.96925
231,1764.6152833333335
234,1741.9033166666668
237,1740.9835166666662
240,1739.2367000000002
243,1826.9894000000002
246,1825.4635083333333
249,1741.6648416666665
