Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chasiss,0.00052651,-3.5116E-07,0.0033972,0,0,0,2.9327,0,0,0,0,0,0,0,0,0,0,0,0,package://makebynnq/meshes/chasiss.STL,0.62,0.62,0.62,1,0,0,0,0,0,0,package://makebynnq/meshes/chasiss.STL,,chasiss_final-1,COM,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_upper_knee,0.054284,-0.0047809,-0.038682,0,0,0,0.035857,0,0,0,0,0,0,0,0,0,0,0,0,package://makebynnq/meshes/FR_upper_knee.STL,0.62,0.62,0.62,1,0,0,0,0,0,0,package://makebynnq/meshes/FR_upper_knee.STL,,upper_knee_right-3,FR_upper_knee_axis,FR_upper_knee,motor_fr_upper_knee_joint,revolute,0.24844,-0.1735,0.007712,0,0,0,chasiss,0,-1,0,20,100,-1.57,1.57,,,,,,,,
FR_lower_knee,-0.065794,0.0025629,-0.07831,0,0,0,0.021517,0,0,0,0,0,0,0,0,0,0,0,0,package://makebynnq/meshes/FR_lower_knee.STL,0.62,0.62,0.62,1,0,0,0,0,0,0,package://makebynnq/meshes/FR_lower_knee.STL,,lower_knee-2,FR_lower_knee_axis,FR_lower_knee,fr_lower_knee_joint,revolute,0.086649,-0.008,-0.067764,0,0,0,FR_upper_knee,0,-1,0,20,100,-1.57,1.57,,,,,,,,
FR_upper_hip,-0.06045,-0.0047809,-0.028086,0,0,0,0.035857,0,0,0,0,0,0,0,0,0,0,0,0,package://makebynnq/meshes/FR_upper_hip.STL,0.62,0.62,0.62,1,0,0,0,0,0,0,package://makebynnq/meshes/FR_upper_hip.STL,,upper_hip_right-3,FR_upper_hip_axis,FR_upper_hip,motor_fr_upper_hip_joint,revolute,0.19775,-0.1735,0.0069919,0,0,0,chasiss,0,-1,0,20,100,-1.57,1.57,,,,,,,,
FR_lower_hip,0.079671,-0.0024606,-0.127,0,0,0,0.034378,0,0,0,0,0,0,0,0,0,0,0,0,package://makebynnq/meshes/FR_lower_hip.STL,0.62,0.62,0.62,1,0,0,0,0,0,0,package://makebynnq/meshes/FR_lower_hip.STL,,lower_hip-2,FR_lower_hip_axis,FR_lower_hip,fr_lower_hip_joint,revolute,-0.097594,-0.01,-0.050749,0,0,0,FR_upper_hip,0,-1,0,20,100,-1.57,1.57,,,,,,,,
RR_upper_knee,0.054328,-0.0047809,-0.038621,0,0,0,0.035857,0,0,0,0,0,0,0,0,0,0,0,0,package://makebynnq/meshes/RR_upper_knee.STL,0.62,0.62,0.62,1,0,0,0,0,0,0,package://makebynnq/meshes/RR_upper_knee.STL,,upper_knee_right-1,RR_upper_knee_axis,RR_upper_knee,motor_rr_upper_knee_joint,revolute,-0.19756,-0.1735,0.007712,0,0,0,chasiss,0,-1,0,20,100,-1.57,1.57,,,,,,,,
RR_lower_knee,-0.065776,0.0025629,-0.078325,0,0,0,0.021517,0,0,0,0,0,0,0,0,0,0,0,0,package://makebynnq/meshes/RR_lower_knee.STL,0.62,0.62,0.62,1,0,0,0,0,0,0,package://makebynnq/meshes/RR_lower_knee.STL,,lower_knee-1,RR_lower_knee_axis,RR_lower_knee,rr_lower_knee_joint,revolute,0.086726,-0.008,-0.067666,0,0,0,RR_upper_knee,0,-1,0,20,100,-1.57,1.57,,,,,,,,
RR_upper_hip,-0.060388,-0.0047809,-0.02822,0,0,0,0.035857,0,0,0,0,0,0,0,0,0,0,0,0,package://makebynnq/meshes/RR_upper_hip.STL,0.62,0.62,0.62,1,0,0,0,0,0,0,package://makebynnq/meshes/RR_upper_hip.STL,,upper_hip_right-1,RR_upper_hip_axis,RR_upper_hip,motor_rr_upper_hip_joint,revolute,-0.24756,-0.1735,0.007712,0,0,0,chasiss,0,-1,0,20,100,-1.57,1.57,,,,,,,,
RR_lower_hip,0.07915,-0.0024606,-0.12733,0,0,0,0.034378,0,0,0,0,0,0,0,0,0,0,0,0,package://makebynnq/meshes/RR_lower_hip.STL,0.62,0.62,0.62,1,0,0,0,0,0,0,package://makebynnq/meshes/RR_lower_hip.STL,,lower_hip-1,RR_lower_hip_axis,RR_lower_hip,rr_lower_hip_joint,revolute,-0.097481,-0.01,-0.050966,0,0,0,RR_upper_hip,0,-1,0,20,100,-1.57,1.57,,,,,,,,
FL_upper_knee,0.054328,0.0047809,-0.038621,0,0,0,0.035857,0,0,0,0,0,0,0,0,0,0,0,0,package://makebynnq/meshes/FL_upper_knee.STL,0.62,0.62,0.62,1,0,0,0,0,0,0,package://makebynnq/meshes/FL_upper_knee.STL,,upper_knee_left-2,FL_upper_knee_axis,FL_upper_knee,motor_fl_upper_knee_joint,revolute,0.24844,0.1735,0.007712,0,0,0,chasiss,0,1,0,20,100,-1.57,1.57,,,,,,,,
