Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BASE,0.0011944095368826,-3.51164099354762E-07,0.00317711957900974,0,0,0,2.9326587036885,0.014239202621753,6.74615081577306E-11,2.55322930373711E-06,0.0122637890177231,-3.29110936316158E-07,0.0222992982471124,0,0,0,0,0,0,package://Spot1504/meshes/BASE.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spot1504/meshes/BASE.STL,,chasiss_final-1,COM,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_upper_knee,0.050518454394026,-0.00478086324288868,-0.0434850436726017,0,0,0,0.0358567815560297,1.16540638853535E-05,4.89995587506689E-20,1.11058116991417E-05,2.74850714706815E-05,-4.45172679533679E-20,1.65095752794789E-05,0,0,0,0,0,0,package://Spot1504/meshes/FR_upper_knee.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spot1504/meshes/FR_upper_knee.STL,,upper_knee_right-3,FR_upper_knee_axis,FR_upper_knee,motor_fr_upper_knee_joint,revolute,0.24911,-0.1735,0.0074919,0,0,0,BASE,0,-1,0,20,100,-1.57,1.57,,,,,,,,
FR_lower_knee,-0.073022,0.0025629,-0.071618,0,0,0,0.021517,4.0431E-05,3.4783E-21,-3.9947E-05,8.2323E-05,-3.1857E-21,4.1982E-05,0,0,0,0,0,0,package://Spot1504/meshes/FR_lower_knee.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spot1504/meshes/FR_lower_knee.STL,,lower_knee-2,FR_lower_knee_axis,FR_lower_knee,fr_lower_knee_joint,revolute,0.080087,-0.008,-0.075406,0,0,0,FR_upper_knee,0,-1,0,20,100,-1.57,1.57,,,,,,,,
FR_upper_hip,-0.0636621897477582,-0.00478086324289151,-0.0197531985787918,0,0,0,0.0358567815560296,4.30727823440024E-06,8.39979053782784E-21,-5.80442871067772E-06,2.74850714706814E-05,-5.49959739681518E-21,2.38563609304322E-05,0,0,0,0,0,0,package://Spot1504/meshes/FR_upper_hip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spot1504/meshes/FR_upper_hip.STL,,upper_hip_right-3,FR_upper_hip_axis,FR_upper_hip,motor_fr_upper_hip_joint,revolute,0.19911123518341,-0.173500351164098,0.00749192202401805,0,0,0,BASE,0,-1,0,20,100,-1.57,1.57,,,,,,,,
FR_lower_hip,0.068122,-0.0024607,-0.13369,0,0,0,0.034408,0.00018105,7.7634E-14,9.0902E-05,0.00022949,4.0144E-14,4.8973E-05,0,0,0,0,0,0,package://Spot1504/meshes/FR_lower_hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Spot1504/meshes/FR_lower_hip.STL,,lower_hip-2,FR_lower_hip_axis,FR_lower_hip,fr_lower_hip_joint,revolute,-0.103501820756658,-0.010000000000002,-0.0372474576320085,0,0,0,FR_upper_hip,0,-1,0,20,100,-1.57,1.57,,,,,,,,
BR_upper_knee,0.0505164736369484,-0.00478086324289045,-0.04348734469744,0,0,0,0.0358567815560296,1.16550756150641E-05,2.21099500908441E-20,1.11060328172725E-05,2.74850714706815E-05,-1.87794137823906E-20,1.65085635497684E-05,0,0,0,0,0,0,package://Spot1504/meshes/BR_upper_knee.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spot1504/meshes/BR_upper_knee.STL,,upper_knee_right-1,BR_upper_knee_axis,BR_upper_knee,motor_br_upper_knee_joint,revolute,-0.196888764816585,-0.173500351164099,0.00749192202402094,0,0,0,BASE,0,-1,0,20,100,-1.57,1.57,,,,,,,,
BR_lower_knee,-0.0730201759131731,0.00256289190345438,-0.0716197354881452,0,0,0,0.0215169355866276,4.04329569008625E-05,-1.07000031676982E-21,-3.99471670446998E-05,8.23233038356787E-05,-7.97144530293169E-22,4.19802164931309E-05,0,0,0,0,0,0,package://Spot1504/meshes/BR_lower_knee.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spot1504/meshes/BR_lower_knee.STL,,lower_knee-1,BR_lower_knee_axis,BR_lower_knee,br_lower_knee_joint,revolute,0.0800840565833414,-0.00800000000000095,-0.0754091763723471,0,0,0,BR_upper_knee,0,-1,0,20,100,-1.57,1.57,,,,,,,,
BR_upper_hip,-0.0636609182771305,-0.00478086324289029,-0.0197572959101793,0,0,0,0.0358567815560298,4.30802547489621E-06,-3.93048566818105E-22,-5.80568686420662E-06,2.74850714706816E-05,-3.82489004597207E-22,2.38556136899364E-05,0,0,0,0,0,0,package://Spot1504/meshes/BR_upper_hip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spot1504/meshes/BR_upper_hip.STL,,upper_hip_right-1,BR_upper_hip_axis,BR_upper_hip,motor_br_upper_hip_joint,revolute,-0.246888764816864,-0.173500351164099,0.00749192202338655,0,0,0,BASE,0,-1,0,20,100,-1.57,1.57,,,,,,,,
BR_lower_hip,0.0681204718274993,-0.00246067050997739,-0.133691285042387,0,0,0,0.0344077954252482,0.000181052841057738,7.76337076345283E-14,9.09007298789023E-05,0.000229493455638044,4.01441860388721E-14,4.89708342337639E-05,0,0,0,0,0,0,package://Spot1504/meshes/BR_lower_hip.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spot1504/meshes/BR_lower_hip.STL,,lower_hip-1,BR_lower_hip_axis,BR_lower_hip,br_lower_hip_joint,revolute,-0.103499423252635,-0.0100000000000007,-0.0372541190514647,0,0,0,BR_upper_hip,0,-1,0,20,100,-1.57,1.57,,,,,,,,
FL_upper_knee,0.0505184543940325,0.0047808632428905,-0.0434850436726002,0,0,0,0.0358567815560297,1.16540638853539E-05,-4.3163647891274E-20,1.11058116991419E-05,2.74850714706816E-05,3.9967258801287E-20,1.65095752794787E-05,0,0,0,0,0,0,package://Spot1504/meshes/FL_upper_knee.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Spot1504/meshes/FL_upper_knee.STL,,upper_knee_left-2,FL_upper_knee_axis,FL_upper_knee,motor_fl_upper_knee_joint,revolute,0.249111235183415,0.173499648835901,0.0074919220240201,0,0,0,BASE,0,1,0,20,100,-1.57,1.57,,,,,,,,
