Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
BASE,0.0013806,5.5581E-06,0.013874,0,0,0,3.427,0,0,0,0,0,0,0,0,0,0,0,0,package://SpotDog2305/meshes/BASE.STL,1,0.75294,0.75294,1,0,0,0,0,0,0,package://SpotDog2305/meshes/BASE.STL,,chasiss_final-1,COM,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_upper_knee,0.050518,-0.0047809,-0.043485,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,package://SpotDog2305/meshes/FR_upper_knee.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SpotDog2305/meshes/FR_upper_knee.STL,,upper_knee_right-3,FR_upper_knee_axis,FR_upper_knee,motor_fr_upper_knee_joint,revolute,0.24911,-0.1735,0.0074919,0,0,0,BASE,0,-1,0,20,100,-1.57,1.57,,,,,,,,
FR_lower_knee,-0.073022,0.0025629,-0.071618,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,package://SpotDog2305/meshes/FR_lower_knee.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SpotDog2305/meshes/FR_lower_knee.STL,,lower_knee-2,FR_lower_knee_axis,FR_lower_knee,fr_lower_knee_joint,revolute,0.080087,-0.008,-0.075406,0,0,0,FR_upper_knee,0,-1,0,20,100,-1.57,1.57,,,,,,,,
FR_upper_hip,-0.063662,-0.0047809,-0.019753,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,package://SpotDog2305/meshes/FR_upper_hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SpotDog2305/meshes/FR_upper_hip.STL,,upper_hip_right-3,FR_upper_hip_axis,FR_upper_hip,motor_fr_upper_hip_joint,revolute,0.19911,-0.1735,0.0074919,0,0,0,BASE,0,-1,0,20,100,-1.57,1.57,,,,,,,,
FR_lower_hip,0.068122,-0.0024607,-0.13369,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,package://SpotDog2305/meshes/FR_lower_hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SpotDog2305/meshes/FR_lower_hip.STL,,lower_hip-2,FR_lower_hip_axis,FR_lower_hip,fr_lower_hip_joint,revolute,-0.1035,-0.01,-0.037247,0,0,0,FR_upper_hip,0,-1,0,20,100,-1.57,1.57,,,,,,,,
BR_upper_knee,0.050516,-0.0047809,-0.043487,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,package://SpotDog2305/meshes/BR_upper_knee.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SpotDog2305/meshes/BR_upper_knee.STL,,upper_knee_right-1,BR_upper_knee_axis,BR_upper_knee,motor_br_upper_knee_joint,revolute,-0.19689,-0.1735,0.0074919,0,0,0,BASE,0,-1,0,20,100,-1.57,1.57,,,,,,,,
BR_lower_knee,-0.07302,0.0025629,-0.07162,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,package://SpotDog2305/meshes/BR_lower_knee.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SpotDog2305/meshes/BR_lower_knee.STL,,lower_knee-1,BR_lower_knee_axis,BR_lower_knee,br_lower_knee_joint,revolute,0.080084,-0.008,-0.075409,0,0,0,BR_upper_knee,0,-1,0,20,100,-1.57,1.57,,,,,,,,
BR_upper_hip,-0.063661,-0.0047809,-0.019757,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,package://SpotDog2305/meshes/BR_upper_hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SpotDog2305/meshes/BR_upper_hip.STL,,upper_hip_right-1,BR_upper_hip_axis,BR_upper_hip,motor_br_upper_hip_joint,revolute,-0.246888764816864,-0.173500351164099,0.00749192202338655,0,0,0,BASE,0,-1,0,20,100,-1.57,1.57,,,,,,,,
BR_lower_hip,0.06812,-0.0024607,-0.13369,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,package://SpotDog2305/meshes/BR_lower_hip.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SpotDog2305/meshes/BR_lower_hip.STL,,lower_hip-1,BR_lower_hip_axis,BR_lower_hip,br_lower_hip_joint,revolute,-0.103499423252635,-0.0100000000000007,-0.0372541190514647,0,0,0,BR_upper_hip,0,-1,0,20,100,-1.57,1.57,,,,,,,,
FL_upper_knee,0.050518,0.0047809,-0.043485,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,package://SpotDog2305/meshes/FL_upper_knee.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://SpotDog2305/meshes/FL_upper_knee.STL,,upper_knee_left-2,FL_upper_knee_axis,FL_upper_knee,motor_fl_upper_knee_joint,revolute,0.249111235183415,0.173499648835901,0.0074919220240201,0,0,0,BASE,0,1,0,20,100,-1.57,1.57,,,,,,,,
